year,city,country,avg_temp,
1791,Beirut,Lebanon,21.57,
1792,Beirut,Lebanon,18.79,
1793,Beirut,Lebanon,19.73,
1794,Beirut,Lebanon,12.42,
1795,Beirut,Lebanon,21.3,
1796,Beirut,Lebanon,18.98,
1797,Beirut,Lebanon,19.23,18.86
1798,Beirut,Lebanon,19.32,18.53857143
1799,Beirut,Lebanon,20.13,18.73
1800,Beirut,Lebanon,,18.56333333
1801,Beirut,Lebanon,20.56,19.92
1802,Beirut,Lebanon,20.29,19.75166667
1803,Beirut,Lebanon,23.22,20.45833333
1804,Beirut,Lebanon,21.96,20.91333333
1805,Beirut,Lebanon,12.97,19.855
1806,Beirut,Lebanon,,19.8
1807,Beirut,Lebanon,18.47,19.57833333
1808,Beirut,Lebanon,16.53,18.90666667
1809,Beirut,Lebanon,17.62,18.46166667
1810,Beirut,Lebanon,17.7,17.54166667
1811,Beirut,Lebanon,17.73,16.83666667
1812,Beirut,Lebanon,17.63,17.61333333
1813,Beirut,Lebanon,18.13,17.68714286
1814,Beirut,Lebanon,18.25,17.65571429
1815,Beirut,Lebanon,17.95,17.85857143
1816,Beirut,Lebanon,17.54,17.84714286
1817,Beirut,Lebanon,17.75,17.85428571
1818,Beirut,Lebanon,18.54,17.97
1819,Beirut,Lebanon,18.12,18.04
1820,Beirut,Lebanon,18.26,18.05857143
1821,Beirut,Lebanon,18.31,18.06714286
1822,Beirut,Lebanon,18.15,18.09571429
1823,Beirut,Lebanon,18.55,18.24
1824,Beirut,Lebanon,19.37,18.47142857
1825,Beirut,Lebanon,18.58,18.47714286
1826,Beirut,Lebanon,18.5,18.53142857
1827,Beirut,Lebanon,19.46,18.70285714
1828,Beirut,Lebanon,18.6,18.74428571
1829,Beirut,Lebanon,18.57,18.80428571
1830,Beirut,Lebanon,18.88,18.85142857
1831,Beirut,Lebanon,18.21,18.68571429
1832,Beirut,Lebanon,17.51,18.53285714
1833,Beirut,Lebanon,18.46,18.52714286
1834,Beirut,Lebanon,18.3,18.36142857
1835,Beirut,Lebanon,17.88,18.25857143
1836,Beirut,Lebanon,18.32,18.22285714
1837,Beirut,Lebanon,17.98,18.09428571
1838,Beirut,Lebanon,17.79,18.03428571
1839,Beirut,Lebanon,18.06,18.11285714
1840,Beirut,Lebanon,18.06,18.05571429
1841,Beirut,Lebanon,18.65,18.10571429
1842,Beirut,Lebanon,18.52,18.19714286
1843,Beirut,Lebanon,18.52,18.22571429
1844,Beirut,Lebanon,18.32,18.27428571
1845,Beirut,Lebanon,18.6,18.39
1846,Beirut,Lebanon,19.21,18.55428571
1847,Beirut,Lebanon,18.8,18.66
1848,Beirut,Lebanon,18.73,18.67142857
