year,city,country,avg_temp,moving average
1808,Cairo,Egypt,17.11,
1809,Cairo,Egypt,19.87,
1810,Cairo,Egypt,19.93,
1811,Cairo,Egypt,20,
1812,Cairo,Egypt,19.93,
1813,Cairo,Egypt,20.51,
1814,Cairo,Egypt,20.43,19.68285714
1815,Cairo,Egypt,20.3,20.13857143
1816,Cairo,Egypt,20.51,20.23
1817,Cairo,Egypt,21.88,20.50857143
1818,Cairo,Egypt,11.6,19.30857143
1819,Cairo,Egypt,20.31,19.36285714
1820,Cairo,Egypt,20.58,19.37285714
1821,Cairo,Egypt,20.63,19.40142857
1822,Cairo,Egypt,20.72,19.46142857
1823,Cairo,Egypt,20.71,19.49
1824,Cairo,Egypt,21.44,19.42714286
1825,Cairo,Egypt,21,20.77
1826,Cairo,Egypt,20.94,20.86
1827,Cairo,Egypt,21.63,21.01
1828,Cairo,Egypt,20.99,21.06142857
1829,Cairo,Egypt,20.91,21.08857143
1830,Cairo,Egypt,21.25,21.16571429
1831,Cairo,Egypt,20.52,21.03428571
1832,Cairo,Egypt,20.2,20.92
1833,Cairo,Egypt,20.81,20.90142857
1834,Cairo,Egypt,20.69,20.76714286
1835,Cairo,Egypt,20.17,20.65
1836,Cairo,Egypt,20.59,20.60428571
1837,Cairo,Egypt,20.27,20.46428571
1838,Cairo,Egypt,20.21,20.42
1839,Cairo,Egypt,20.43,20.45285714
1840,Cairo,Egypt,20.56,20.41714286
1841,Cairo,Egypt,20.91,20.44857143
1842,Cairo,Egypt,20.92,20.55571429
1843,Cairo,Egypt,20.83,20.59
1844,Cairo,Egypt,20.66,20.64571429
1845,Cairo,Egypt,20.9,20.74428571
1846,Cairo,Egypt,21.57,20.90714286
1847,Cairo,Egypt,21.1,20.98428571
1848,Cairo,Egypt,20.89,20.98142857
1849,Cairo,Egypt,20.9,20.97857143
1850,Cairo,Egypt,20.39,20.91571429
1851,Cairo,Egypt,21.11,20.98
1852,Cairo,Egypt,21.04,21
1853,Cairo,Egypt,21.53,20.99428571
1854,Cairo,Egypt,20.74,20.94285714
1855,Cairo,Egypt,21.04,20.96428571
1856,Cairo,Egypt,20.49,20.90571429
1857,Cairo,Egypt,20.29,20.89142857
1858,Cairo,Egypt,20.9,20.86142857
1859,Cairo,Egypt,20.98,20.85285714
1860,Cairo,Egypt,21.33,20.82428571
1861,Cairo,Egypt,20.21,20.74857143
