year,avg_temp,global avg,Beirut AVG,Cairo AVG
1750,8.72,,#N/A,#N/A
1751,7.98,,#N/A,#N/A
1752,5.78,,#N/A,#N/A
1753,8.39,,#N/A,#N/A
1754,8.47,,#N/A,#N/A
1755,8.36,,#N/A,#N/A
1756,8.85,8.078571429,#N/A,#N/A
1757,9.02,8.121428571,#N/A,#N/A
1758,6.74,7.944285714,#N/A,#N/A
1759,7.99,8.26,#N/A,#N/A
1760,7.19,8.088571429,#N/A,#N/A
1761,8.77,8.131428571,#N/A,#N/A
1762,8.61,8.167142857,#N/A,#N/A
1763,7.5,7.974285714,#N/A,#N/A
1764,8.4,7.885714286,#N/A,#N/A
1765,8.25,8.101428571,#N/A,#N/A
1766,8.41,8.161428571,#N/A,#N/A
1767,8.22,8.308571429,#N/A,#N/A
1768,6.78,8.024285714,#N/A,#N/A
1769,7.69,7.892857143,#N/A,#N/A
1770,7.69,7.92,#N/A,#N/A
1771,7.85,7.841428571,#N/A,#N/A
1772,8.19,7.832857143,#N/A,#N/A
1773,8.22,7.805714286,#N/A,#N/A
1774,8.77,7.884285714,#N/A,#N/A
1775,9.18,8.227142857,#N/A,#N/A
1776,8.3,8.314285714,#N/A,#N/A
1777,8.26,8.395714286,#N/A,#N/A
1778,8.54,8.494285714,#N/A,#N/A
1779,8.98,8.607142857,#N/A,#N/A
1780,9.43,8.78,#N/A,#N/A
1781,8.1,8.684285714,#N/A,#N/A
1782,7.9,8.501428571,#N/A,#N/A
1783,7.68,8.412857143,#N/A,#N/A
1784,7.86,8.355714286,#N/A,#N/A
1785,7.36,8.187142857,#N/A,#N/A
1786,8.26,8.084285714,#N/A,#N/A
1787,8.03,7.884285714,#N/A,#N/A
1788,8.45,7.934285714,#N/A,#N/A
1789,8.33,7.995714286,#N/A,#N/A
1790,7.98,8.038571429,#N/A,#N/A
1791,8.23,8.091428571,0,#N/A
1792,8.09,8.195714286,0,#N/A
1793,8.23,8.191428571,0,#N/A
1794,8.53,8.262857143,0,#N/A
1795,8.35,8.248571429,0,#N/A
1796,8.27,8.24,0,#N/A
1797,8.51,8.315714286,18.86,#N/A
1798,8.67,8.378571429,18.53857143,#N/A
1799,8.51,8.438571429,18.73,#N/A
1800,8.48,8.474285714,18.56333333,#N/A
1801,8.59,8.482857143,19.92,#N/A
1802,8.58,8.515714286,19.75166667,#N/A
1803,8.5,8.548571429,20.45833333,#N/A
1804,8.84,8.595714286,20.91333333,#N/A
